,ecomm_name,name,src,price_1,price_2
129,devoto,Galletitas 9 DE ORO avena con miel 120 g,https://geant.vteximg.com.br/arquivos/ids/282205-250-250/662902.jpg?v=637656912671700000,57,
130,devoto,Galletitas 9 DE ORO avena con pasas 120 g,https://geant.vteximg.com.br/arquivos/ids/282204-250-250/662899.jpg?v=637656912349600000,62,
131,devoto,Galletita mini EL TRIGAL miel 100 g,https://geant.vteximg.com.br/arquivos/ids/319073-250-250/669413.jpg?v=637980686525330000,61,
132,devoto,Galletitas OREO bañada chocolate blanco 119 g,https://geant.vteximg.com.br/arquivos/ids/261800-250-250/662154.jpg?v=637387113850830000,149,
133,devoto,Oblea BIS MILKA OREO 105 g,https://geant.vteximg.com.br/arquivos/ids/250034-250-250/662203.jpg?v=637245720032530000,119,
134,devoto,Galletitas OREO bañadas chocolate 119 g,https://geant.vteximg.com.br/arquivos/ids/249966-250-250/662155.jpg?v=637245449341000000,149,
135,devoto,Oblea chocolate PORTEZUELO black 100 g,https://geant.vteximg.com.br/arquivos/ids/249958-250-250/662246.jpg?v=637245445720230000,44,
136,devoto,Galletitas scons 9 DE ORO 180 g,https://geant.vteximg.com.br/arquivos/ids/246081-250-250/662185.jpg?v=637193491304630000,86,
137,devoto,Galletas dulces EL TRIGAL sin azúcar limón 150 g,https://geant.vteximg.com.br/arquivos/ids/279043-250-250/661987.jpg?v=637625726264470000,113,
138,devoto,Galletas de arroz DELUXE bañadas chocolate blanco 115 g,https://geant.vteximg.com.br/arquivos/ids/296376-250-250/661864.jpg?v=637822803883170000,135,
139,devoto,Wafers GULLÓN chocolate sin azúcar 70 g,https://geant.vteximg.com.br/arquivos/ids/295162-250-250/661280.jpg?v=637804419220700000,78,
140,devoto,Galletitas TERRABUSI con Chips Pepitos 118 g,https://geant.vteximg.com.br/arquivos/ids/195159-250-250/746332.jpg?v=636313000134170000,75,
141,devoto,Galletitas GULLÓN Diet Fibra sin azúcar 250 g,https://geant.vteximg.com.br/arquivos/ids/211362-250-250/745742.jpg?v=636467754270400000,191,
142,devoto,Galletitas Suspiros FAMOSA Marmolada,https://geant.vteximg.com.br/arquivos/ids/202964-250-250/744869.jpg?v=636377037596400000,57,
143,devoto,Galletita María FAMOSA 100 g,https://geant.vteximg.com.br/arquivos/ids/202961-250-250/744745.jpg?v=636377037492370000,51,
144,devoto,Galleta arroz SAMAN dulce 150 g,https://geant.vteximg.com.br/arquivos/ids/282143-250-250/744579.jpg?v=637656809540570000,67,
145,devoto,Galletita mini Solar FAMOSA 100 g,https://geant.vteximg.com.br/arquivos/ids/202957-250-250/744494.jpg?v=636377037349930000,52,
146,devoto,Galletita chocolate MANA rellena vainilla 165 g,https://geant.vteximg.com.br/arquivos/ids/210154-250-250/744392.jpg?v=636449557232000000,54,
147,devoto,Galletitas MANA Rellenas Frutilla 165 g,https://geant.vteximg.com.br/arquivos/ids/242856-250-250/744349.jpg?v=637121224663970000,54,
148,devoto,Galletitas surtido ARCOR diversión 400 g,https://geant.vteximg.com.br/arquivos/ids/234682-250-250/743591.jpg?v=637015713346370000,107,
149,devoto,Galletitas Dulces FRUTIGRAN Salvado 250 g,https://geant.vteximg.com.br/arquivos/ids/198943-250-250/742853-1.jpg?v=636344318111500000,116,
150,devoto,Obleas chocolate salvaje EL TRIGAL,https://geant.vteximg.com.br/arquivos/ids/329770-250-250/742570.jpg?v=638089571996830000,94,
151,devoto,Galletitas pepas con dulce de membrillo 350 g,https://geant.vteximg.com.br/arquivos/ids/250948-250-250/740204.jpg?v=637260321162130000,72,
152,devoto,Galletitas EL TRIGAL con leche 190 g,https://geant.vteximg.com.br/arquivos/ids/198926-250-250/740128-1.jpg?v=636344317435830000,86,
153,devoto,Oblea Frutilla PORTEZUELO 110 g,https://geant.vteximg.com.br/arquivos/ids/198919-250-250/740039-1.jpg?v=636344317185130000,37,
154,devoto,Barquillos CAPRICE Rellenos Chocolate,https://geant.vteximg.com.br/arquivos/ids/202285-250-250/740002.jpg?v=636371955181800000,188,
155,devoto,Galletitas Cerealitas Avena y Coco 170g,https://geant.vteximg.com.br/arquivos/ids/295335-250-250/669978.jpg?v=637805263553700000,88,
156,devoto,Bizcochos GALLO SNACK Dulces de Arroz 100 g,https://geant.vteximg.com.br/arquivos/ids/268814-250-250/669958.jpg?v=637520163556570000,99,
157,devoto,Galletitas ARCOR rellenas frutilla y fresa 120 g,https://geant.vteximg.com.br/arquivos/ids/210091-250-250/669408.jpg?v=636449555024900000,31,
158,devoto,Galletitas mini PEPITOS con Chispas 50 g,https://geant.vteximg.com.br/arquivos/ids/202012-250-250/669227.jpg?v=636371872210600000,30,
159,devoto,Galletitas LAPATAIA Naranja bañadas Chocolate 120 g,https://geant.vteximg.com.br/arquivos/ids/198581-250-250/669224-1.jpg?v=636344247602800000,79,
160,devoto,Galletitas Dulces FRUTIGRAN Semillas Chía y Lino,https://geant.vteximg.com.br/arquivos/ids/198572-250-250/668924-1.jpg?v=636344247263970000,116,
161,devoto,Galletitas Surtidas Portezuelo 400 g,https://geant.vteximg.com.br/arquivos/ids/284740-250-250/690069.jpg?v=637679400693830000,149,
162,devoto,Galletita María Dorada GULLÓN 200 g,https://geant.vteximg.com.br/arquivos/ids/208518-250-250/619941.jpg?v=636431397075200000,83,
163,devoto,Wafle OBLE OBLA Chocolate 100 g,https://geant.vteximg.com.br/arquivos/ids/263113-250-250/619339.jpg?v=637395986592730000,29,
164,devoto,Galletitas GULLÓN sin gluten con Chips Choc 130 g,https://geant.vteximg.com.br/arquivos/ids/216233-250-250/660534.jpg?v=636596588484530000,176,
165,devoto,Galletitas SANTIVERI 0% azúcar arándanos 190 g,https://geant.vteximg.com.br/arquivos/ids/324983-250-250/662015.jpg?v=638034396300100000,170,
166,devoto,Galletitas SANTIVERI 0% azúcar avena 190 g,https://geant.vteximg.com.br/arquivos/ids/327838-250-250/662014.jpg?v=638061093809870000,147,
167,devoto,Galletitas SANTIVERI 0% azúcar chocolate 200 g,https://geant.vteximg.com.br/arquivos/ids/326010-250-250/662013.jpg?v=638043894723170000,170,
168,devoto,Galletitas SANTIVERI 0% azúcar original 190 g,https://geant.vteximg.com.br/arquivos/ids/326007-250-250/662012.jpg?v=638043893072930000,128,
169,devoto,Oblea PORTEZUELO dulce de leche 100 g,https://geant.vteximg.com.br/arquivos/ids/313623-250-250/660625.jpg?v=637919374776130000,37,
170,devoto,Galletitas FRUTIGRAN avena tropical 175 g,https://geant.vteximg.com.br/arquivos/ids/312805-250-250/660012.jpg?v=637910721340500000,89,
171,devoto,Palitos CORY chocolate 90 g,https://geant.vteximg.com.br/arquivos/ids/294227-250-250/744706.jpg?v=637794015800300000,35,
172,devoto,Galletitas SMAMS pepas membrillo sin gluten 150g,https://geant.vteximg.com.br/arquivos/ids/271286-250-250/665653.jpg?v=637558164638270000,131,
173,devoto,Galletitas bañadas NATIVO 0% azúcar 100 g,https://geant.vteximg.com.br/arquivos/ids/260819-250-250/662472.jpg?v=637376950917730000,85,
174,devoto,Galletitas Milka mousse chocolate 116 g,https://geant.vteximg.com.br/arquivos/ids/296366-250-250/661617.jpg?v=637822799904430000,75,
175,devoto,Galletitas Gullón chip chocolate sin azúcar 125g,https://geant.vteximg.com.br/arquivos/ids/216661-250-250/661278.jpg?v=636602644100200000,153,
